"","motif","coef","xaxis","color"
"1","p53_match",0.833520396990056,"2","tan"
"2","RelA_2_match",0.149300533995124,"3","tan"
"3","CREBZF_match",0.733669267725946,"4","tan"
"4","AR_match",0.773349926453437,"5","tan"
"5","ANAC013_match",1.49522957570662,"6","tan"
"6","EKLF_match",0.0273128518008687,"7","tan"
"7","WxxLF_match",0.830983721872336,"8","tan"
"8","stringent_9aa_match",0.397831886008935,"9","tan"
"9","moderate_9aa_match",0.373830496965666,"10","tan"
"10","lenient_9aa_match",0.496397428479598,"11","tan"
